episode_id,partition,layout_id,planner,profile_id,success,reason,collision,planner_failures,final_time,path_length,min_clearance,final_xy_error
holdout__holdout_10__dwa__delay_100,holdout,holdout_10,dwa,delay_100,false,logical_timeout,false,0,30.00000000000189,0.10753009517542378,0.7779891198459765,4.799886964378005
discovery__discovery_13__teb__tau_x_300,discovery,discovery_13,teb,tau_x_300,true,external_tolerance,false,0,12.84999999999977,5.495224413601628,0.1843420849845117,0.0760942101690338
holdout__holdout_19__teb__tau_y_300,holdout,holdout_19,teb,tau_y_300,true,external_tolerance,false,0,15.25999999999972,5.9093543854869,0.16084995977580188,0.07956585574166601
discovery__discovery_15__teb__tau_x_300,discovery,discovery_15,teb,tau_x_300,true,external_tolerance,false,0,14.75999999999973,6.1384365250347335,0.15419910264437392,0.0769831085409217
holdout__holdout_15__teb__tau_w_300,holdout,holdout_15,teb,tau_w_300,true,external_tolerance,false,0,17.14999999999988,4.98278890388189,0.21752390208821834,0.047048816324422475
holdout__holdout_08__teb__tau_x_100,holdout,holdout_08,teb,tau_x_100,true,external_tolerance,false,0,13.419999999999758,5.930015639541183,0.1650549084086197,0.0646186111953565
discovery__discovery_09__dwa__tau_w_300,discovery,discovery_09,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,1.7719955636256632,0.23656416596860178,3.666297460407461
holdout__holdout_20__teb__delay_100,holdout,holdout_20,teb,delay_100,true,external_tolerance,false,0,13.869999999999749,5.381624848507688,0.15102528864462872,0.06037838476051996
holdout__holdout_18__dwa__tau_w_100,holdout,holdout_18,dwa,tau_w_100,false,logical_timeout,false,0,30.00000000000189,0.37930497239196737,0.4060008785031556,4.750198638426072
discovery__discovery_11__teb__tau_w_300,discovery,discovery_11,teb,tau_w_300,true,external_tolerance,false,0,23.200000000000827,5.863622437878125,0.08090757066181636,0.021936218295769232
holdout__holdout_13__dwa__delay_050,holdout,holdout_13,dwa,delay_050,false,plugin returned no valid velocity command,false,1,1.6000000000000012,0.060793762754946544,0.7141127313695449,4.789388221964771
discovery__discovery_15__dwa__delay_200,discovery,discovery_15,dwa,delay_200,false,plugin returned no valid velocity command,false,1,5.799999999999921,1.3922183820054956,0.1565577008093122,4.031500554298267
discovery__discovery_10__teb__tau_y_150,discovery,discovery_10,teb,tau_y_150,true,external_tolerance,false,0,14.509999999999735,6.168101119644033,0.12330432713430425,0.0785406460311575
holdout__holdout_02__dwa__tau_x_300,holdout,holdout_02,dwa,tau_x_300,false,logical_timeout,false,0,30.00000000000189,0.08880162185125437,1.395372006279701,4.7987983755832255
holdout__holdout_02__teb__tau_y_300,holdout,holdout_02,teb,tau_y_300,true,external_tolerance,false,0,17.729999999999972,6.088419908686212,0.0570948180817622,0.07974626167882176
holdout__holdout_17__dwa__delay_100,holdout,holdout_17,dwa,delay_100,false,logical_timeout,false,0,30.00000000000189,0.10753009517542378,0.3647369699700279,4.799886964378005
holdout__holdout_06__dwa__delay_050,holdout,holdout_06,dwa,delay_050,false,plugin returned no valid velocity command,false,1,1.6000000000000012,0.060793762754946544,0.7454999999999998,4.789388221964771
discovery__discovery_06__teb__tau_y_300,discovery,discovery_06,teb,tau_y_300,true,external_tolerance,false,0,17.059999999999867,6.634754150945979,0.18090760651923,0.026325424011185615
discovery__discovery_03__dwa__tau_x_100,discovery,discovery_03,dwa,tau_x_100,false,logical_timeout,false,0,30.00000000000189,0.08024138001756845,0.5767083318281437,4.797483142941365
holdout__holdout_11__dwa__delay_100,holdout,holdout_11,dwa,delay_100,false,plugin returned no valid velocity command,false,1,20.35000000000038,2.7449775636456004,0.05410103591295614,2.2344273959556475
holdout__holdout_10__teb__delay_100,holdout,holdout_10,teb,delay_100,true,external_tolerance,false,0,14.349999999999739,5.548080260972119,0.14677238293837433,0.0789561834827328
discovery__discovery_04__dwa__tau_y_500,discovery,discovery_04,dwa,tau_y_500,false,logical_timeout,false,0,30.00000000000189,1.9811704136325994,0.11274412537007457,3.385950773140329
discovery__discovery_09__dwa__tau_w_100,discovery,discovery_09,dwa,tau_w_100,false,logical_timeout,false,0,30.00000000000189,0.10350131892526561,0.45974428749575247,4.79937960160367
holdout__holdout_03__teb__tau_y_300,holdout,holdout_03,teb,tau_y_300,true,external_tolerance,false,0,14.27999999999974,5.3475900640984575,0.1416487393030169,0.07953127435978849
holdout__holdout_06__dwa__e0,holdout,holdout_06,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.29686420154556653,0.7454999999999998,4.750728787406146
holdout__holdout_15__teb__e0,holdout,holdout_15,teb,e0,true,external_tolerance,false,0,11.079999999999808,4.965196530622168,0.23047069839367157,0.07625316366816433
discovery__discovery_14__teb__e0,discovery,discovery_14,teb,e0,true,external_tolerance,false,0,11.279999999999804,5.18419192804656,0.06559892844010878,0.07842503001779307
holdout__holdout_10__dwa__tau_w_100,holdout,holdout_10,dwa,tau_w_100,false,logical_timeout,false,0,30.00000000000189,0.10350131892526561,0.7814040130114593,4.79937960160367
holdout__holdout_02__teb__tau_x_100,holdout,holdout_02,teb,tau_x_100,true,external_tolerance,false,0,12.87999999999977,5.738083438711129,0.06416072092652059,0.06687095420934973
holdout__holdout_06__teb__tau_x_100,holdout,holdout_06,teb,tau_x_100,true,external_tolerance,false,0,13.499999999999757,5.906877435682108,0.1217122142379937,0.04909383807687167
discovery__discovery_17__dwa__tau_x_100,discovery,discovery_17,dwa,tau_x_100,false,logical_timeout,false,0,30.00000000000189,0.08024138001756845,1.4699377881288886,4.797483142941365
discovery__discovery_06__dwa__tau_w_300,discovery,discovery_06,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,6.751955661632554,0.03412135663537698,0.5075155437790944
holdout__holdout_14__dwa__e0,holdout,holdout_14,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.08043681154258775,0.6966043696988299,4.800342967782957
discovery__discovery_12__dwa__delay_200,discovery,discovery_12,dwa,delay_200,false,logical_timeout,false,0,30.00000000000189,0.11073616392538553,0.7642902261488295,4.798693959698342
discovery__discovery_01__teb__tau_y_150,discovery,discovery_01,teb,tau_y_150,true,external_tolerance,false,0,13.33999999999976,5.512201808352739,0.03417137066956233,0.03433436017487294
holdout__holdout_05__dwa__e0,holdout,holdout_05,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.08043681154258775,0.9210500412375878,4.800342967782957
holdout__holdout_13__dwa__delay_100,holdout,holdout_13,dwa,delay_100,true,external_tolerance,false,0,25.85000000000124,5.131759102488289,0.05024248027644647,0.07933680640947587
holdout__holdout_05__dwa__delay_050,holdout,holdout_05,dwa,delay_050,false,logical_timeout,false,0,30.00000000000189,0.10330025774373841,0.9210500412375878,4.800409713394666
discovery__discovery_20__dwa__e0,discovery,discovery_20,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.29686420154556653,0.6011354567806844,4.750728787406146
holdout__holdout_17__dwa__tau_y_150,holdout,holdout_17,dwa,tau_y_150,false,logical_timeout,false,0,30.00000000000189,2.856385644144798,0.09018968475690524,2.6255988761402587
discovery__discovery_02__teb__tau_w_100,discovery,discovery_02,teb,tau_w_100,true,external_tolerance,false,0,12.059999999999787,5.217502132380019,0.13846707687165077,0.0331034105372891
discovery__discovery_02__teb__delay_200,discovery,discovery_02,teb,delay_200,true,external_tolerance,false,0,17.739999999999974,5.594514204300685,0.09249934595366717,0.056014837058700535
discovery__discovery_08__dwa__tau_x_100,discovery,discovery_08,dwa,tau_x_100,false,logical_timeout,false,0,30.00000000000189,0.08024138001756845,0.7417969649864018,4.797483142941365
discovery__discovery_13__dwa__delay_050,discovery,discovery_13,dwa,delay_050,false,logical_timeout,false,0,30.00000000000189,0.7099289120709465,0.31788852870268336,4.6481919376168515
holdout__holdout_09__teb__e0,holdout,holdout_09,teb,e0,true,external_tolerance,false,0,10.929999999999811,5.001579593046495,0.10665679417426092,0.07986169047598787
holdout__holdout_16__dwa__delay_100,holdout,holdout_16,dwa,delay_100,true,external_tolerance,false,0,27.05000000000143,5.00279665013178,0.02326284185066374,0.06749678428037695
discovery__discovery_13__dwa__tau_w_100,discovery,discovery_13,dwa,tau_w_100,false,logical_timeout,false,0,30.00000000000189,0.42427196801886025,0.4243614309326466,4.846350580980265
discovery__discovery_14__teb__tau_x_100,discovery,discovery_14,teb,tau_x_100,true,external_tolerance,false,0,11.4399999999998,5.1609103350019545,0.0566704499664068,0.07884042869769138
discovery__discovery_03__teb__tau_y_500,discovery,discovery_03,teb,tau_y_500,true,external_tolerance,false,0,19.730000000000285,6.146962816870339,0.10586019696974774,0.03869031649312744
holdout__holdout_13__dwa__delay_200,holdout,holdout_13,dwa,delay_200,false,logical_timeout,false,0,30.00000000000189,5.185650348653374,0.05830548521819694,0.20728939116181996
holdout__holdout_16__teb__tau_w_100,holdout,holdout_16,teb,tau_w_100,true,external_tolerance,false,0,12.109999999999786,5.035352984482705,0.17523988757932932,0.044868419648744176
holdout__holdout_20__dwa__delay_050,holdout,holdout_20,dwa,delay_050,false,plugin returned no valid velocity command,false,1,1.6000000000000012,0.060793762754946544,0.6549420647886863,4.789388221964771
holdout__holdout_19__teb__tau_x_100,holdout,holdout_19,teb,tau_x_100,true,external_tolerance,false,0,12.929999999999769,5.80423649354844,0.18819793327269657,0.056917553498141885
holdout__holdout_15__teb__tau_x_300,holdout,holdout_15,teb,tau_x_300,true,external_tolerance,false,0,12.119999999999786,4.966388129657567,0.21721383586065918,0.07788601598182689
holdout__holdout_09__teb__delay_100,holdout,holdout_09,teb,delay_100,true,external_tolerance,false,0,12.279999999999783,5.145287202355509,0.089490387878553,0.07909189409844938
discovery__discovery_10__dwa__delay_100,discovery,discovery_10,dwa,delay_100,false,plugin returned no valid velocity command,false,1,0.9000000000000006,0.09974331800254929,0.804564807753719,4.802163523541085
holdout__holdout_11__teb__tau_y_150,holdout,holdout_11,teb,tau_y_150,true,external_tolerance,false,0,12.619999999999775,5.3194422092814335,0.14449855139258924,0.06661859114785307
holdout__holdout_19__teb__e0,holdout,holdout_19,teb,e0,true,external_tolerance,false,0,12.629999999999775,5.850540512837096,0.2032814155752695,0.06839033039648638
discovery__discovery_12__dwa__tau_w_300,discovery,discovery_12,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,2.08852044431305,0.1529731992513086,3.1001515406607205
discovery__discovery_19__dwa__tau_w_300,discovery,discovery_19,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,3.170654818668046,0.09645807344228094,3.2963625475449816
holdout__holdout_12__dwa__tau_y_500,holdout,holdout_12,dwa,tau_y_500,false,logical_timeout,false,0,30.00000000000189,0.14694983650681062,0.4672289926660988,4.797485535329291
discovery__discovery_06__teb__delay_100,discovery,discovery_06,teb,delay_100,true,external_tolerance,false,0,18.61000000000011,6.734304921513844,0.17347280525269604,0.04543700763254158
holdout__holdout_08__teb__tau_w_100,holdout,holdout_08,teb,tau_w_100,true,external_tolerance,false,0,13.669999999999753,5.949206766914254,0.164240519849288,0.0707630292916984
discovery__discovery_14__teb__tau_x_300,discovery,discovery_14,teb,tau_x_300,true,external_tolerance,false,0,12.219999999999784,5.197282858747763,0.07310233661107365,0.07882741935975336
discovery__discovery_03__dwa__tau_y_300,discovery,discovery_03,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,0.1320295164372248,0.5767083318281437,4.799915338987383
holdout__holdout_07__dwa__delay_100,holdout,holdout_07,dwa,delay_100,false,plugin returned no valid velocity command,false,1,17.249999999999897,1.1950307786529668,0.21510587228582817,3.7256013182042778
discovery__discovery_15__teb__tau_y_500,discovery,discovery_15,teb,tau_y_500,true,external_tolerance,false,0,21.330000000000535,6.426242469808451,0.0302452078602239,0.07991895245007312
holdout__holdout_12__teb__delay_100,holdout,holdout_12,teb,delay_100,true,external_tolerance,false,0,12.469999999999779,5.200231915316513,0.10184577518757439,0.06335448589061932
holdout__holdout_06__teb__tau_y_150,holdout,holdout_06,teb,tau_y_150,true,external_tolerance,false,0,14.149999999999743,6.0421824286243595,0.05624798688266727,0.05991816272270342
holdout__holdout_03__teb__tau_y_150,holdout,holdout_03,teb,tau_y_150,true,external_tolerance,false,0,13.729999999999752,5.502592425452643,0.15356891363595565,0.07987752476729737
discovery__discovery_11__dwa__tau_y_300,discovery,discovery_11,dwa,tau_y_300,true,external_tolerance,false,0,26.190000000001294,6.2068551990044565,0.18928561772772792,0.07416992468281554
discovery__discovery_08__teb__tau_y_300,discovery,discovery_08,teb,tau_y_300,true,external_tolerance,false,0,13.689999999999753,5.229784577290072,0.15787589603012406,0.07981159112397457
holdout__holdout_04__dwa__tau_x_100,holdout,holdout_04,dwa,tau_x_100,false,logical_timeout,false,0,30.00000000000189,0.11273341326251649,0.5294157630008397,4.749535392668288
holdout__holdout_03__dwa__tau_x_300,holdout,holdout_03,dwa,tau_x_300,false,logical_timeout,false,0,30.00000000000189,0.05226722964506285,0.44028356828152276,4.7987688891493585
holdout__holdout_15__teb__tau_w_100,holdout,holdout_15,teb,tau_w_100,true,external_tolerance,false,0,12.519999999999778,4.961178871334012,0.2310304192912901,0.05984384514416764
discovery__discovery_19__dwa__e0,discovery,discovery_19,dwa,e0,false,logical_timeout,false,0,30.00000000000189,3.1934470087008786,0.06352370778690548,3.34736673311757
holdout__holdout_12__teb__tau_y_150,holdout,holdout_12,teb,tau_y_150,true,external_tolerance,false,0,12.239999999999783,5.221037607230482,0.12542414754303755,0.07853363452032323
discovery__discovery_13__teb__tau_y_150,discovery,discovery_13,teb,tau_y_150,true,external_tolerance,false,0,12.329999999999782,5.512824116720483,0.20423399596110628,0.06569252315018248
holdout__holdout_11__teb__tau_w_300,holdout,holdout_11,teb,tau_w_300,true,external_tolerance,false,0,16.209999999999734,5.247940761230301,0.15723020803457205,0.02885115649913957
holdout__holdout_04__dwa__e0,holdout,holdout_04,dwa,e0,false,logical_timeout,false,0,30.00000000000189,1.9098349966012036,0.060852266956320435,3.4372139852061556
holdout__holdout_17__dwa__e0,holdout,holdout_17,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.08043681154258775,0.38289520206218225,4.800342967782957
holdout__holdout_20__dwa__delay_200,holdout,holdout_20,dwa,delay_200,false,plugin returned no valid velocity command,false,1,23.60000000000089,1.9595429689996071,0.12132189992093212,2.976430986122181
holdout__holdout_08__dwa__e0,holdout,holdout_08,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.08043681154258775,0.5304484433093017,4.800342967782957
discovery__discovery_11__teb__tau_x_300,discovery,discovery_11,teb,tau_x_300,true,external_tolerance,false,0,17.07999999999987,6.287682556100659,0.06043241535591497,0.0776728554428146
holdout__holdout_13__teb__tau_w_300,holdout,holdout_13,teb,tau_w_300,true,external_tolerance,false,0,17.01999999999986,5.099009849458407,0.14272200029984816,0.04385155530118739
discovery__discovery_08__teb__tau_w_100,discovery,discovery_08,teb,tau_w_100,true,external_tolerance,false,0,11.739999999999794,5.123119482186174,0.1760686217565947,0.06294786418098854
discovery__discovery_06__teb__tau_x_300,discovery,discovery_06,teb,tau_x_300,true,external_tolerance,false,0,19.280000000000214,6.973744057466727,0.18195998131954574,0.07904813733349213
discovery__discovery_16__teb__tau_y_300,discovery,discovery_16,teb,tau_y_300,true,external_tolerance,false,0,15.429999999999715,6.078219629011574,0.16486625772377012,0.07511689544068406
holdout__holdout_16__teb__e0,holdout,holdout_16,teb,e0,true,external_tolerance,false,0,11.149999999999807,5.02612241570375,0.17476053419175605,0.06430988906898327
discovery__discovery_15__teb__tau_w_100,discovery,discovery_15,teb,tau_w_100,true,external_tolerance,false,0,14.909999999999727,6.126452519848916,0.14967601297300775,0.07773503767584948
holdout__holdout_15__dwa__delay_050,holdout,holdout_15,dwa,delay_050,false,logical_timeout,false,0,30.00000000000189,0.10330025774373841,0.697775819605341,4.800409713394666
holdout__holdout_12__teb__delay_200,holdout,holdout_12,teb,delay_200,true,external_tolerance,false,0,14.939999999999726,5.338153865293756,0.13421220022449382,0.06696058582613447
discovery__discovery_05__teb__delay_050,discovery,discovery_05,teb,delay_050,true,external_tolerance,false,0,14.669999999999732,6.302591386703066,0.19469865260561234,0.018994235549275283
holdout__holdout_11__teb__delay_100,holdout,holdout_11,teb,delay_100,true,external_tolerance,false,0,14.399999999999737,5.305997390592627,0.16521305903217978,0.06097687902405086
holdout__holdout_05__teb__delay_050,holdout,holdout_05,teb,delay_050,true,external_tolerance,false,0,12.119999999999786,5.273937330568528,0.11183191067010755,0.07693154828319144
holdout__holdout_16__dwa__e0,holdout,holdout_16,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.29686420154556653,0.597551315350956,4.750728787406146
holdout__holdout_19__dwa__delay_100,holdout,holdout_19,dwa,delay_100,false,plugin returned no valid velocity command,false,1,2.149999999999998,0.022803454559040807,0.49446178709082494,4.782126715165411
discovery__discovery_12__dwa__tau_x_100,discovery,discovery_12,dwa,tau_x_100,false,logical_timeout,false,0,30.00000000000189,0.08024138001756845,0.7612104101039326,4.797483142941365
discovery__discovery_14__dwa__delay_200,discovery,discovery_14,dwa,delay_200,false,logical_timeout,false,0,30.00000000000189,5.272097263440414,0.04610915385563239,0.12410114877262231
holdout__holdout_06__dwa__tau_w_300,holdout,holdout_06,dwa,tau_w_300,false,logical_timeout,false,0,30.00000000000189,2.1309074568165762,0.3129094160206624,3.021389634454535
discovery__discovery_11__dwa__tau_y_500,discovery,discovery_11,dwa,tau_y_500,false,logical_timeout,false,0,30.00000000000189,2.2402668769081666,0.25449789517657234,3.3438993336589653
discovery__discovery_11__teb__tau_y_500,discovery,discovery_11,teb,tau_y_500,false,footprint_collision,true,0,10.719999999999816,4.108466461327645,0.0,1.6552596014273282
discovery__discovery_20__teb__delay_200,discovery,discovery_20,teb,delay_200,false,plugin returned no valid velocity command,false,1,7.149999999999892,2.2285988909043293,0.11954505003111038,3.088395565558634
discovery__discovery_06__teb__tau_w_300,discovery,discovery_06,teb,tau_w_300,true,external_tolerance,false,0,23.53000000000088,6.563496583704724,0.1766638440134153,0.022798068304496186
holdout__holdout_05__dwa__delay_200,holdout,holdout_05,dwa,delay_200,false,logical_timeout,false,0,30.00000000000189,0.11073616392538553,0.9210500412375878,4.798693959698342
discovery__discovery_08__dwa__tau_y_300,discovery,discovery_08,dwa,tau_y_300,false,logical_timeout,false,0,30.00000000000189,0.1320295164372248,0.7170418537115383,4.799915338987383
holdout__holdout_09__dwa__tau_y_150,holdout,holdout_09,dwa,tau_y_150,true,external_tolerance,false,0,15.69999999999971,5.003848444000737,0.07207370170943074,0.07857627969260296
discovery__discovery_12__dwa__e0,discovery,discovery_12,dwa,e0,false,logical_timeout,false,0,30.00000000000189,0.08043681154258775,0.7744980337831191,4.800342967782957
discovery__discovery_11__dwa__delay_050,discovery,discovery_11,dwa,delay_050,false,plugin returned no valid velocity command,false,1,20.800000000000452,2.4090474210290433,0.2228833505611234,3.1260763473379485
discovery__discovery_16__dwa__e0,discovery,discovery_16,dwa,e0,true,external_tolerance,false,0,17.039999999999864,5.983349324180807,0.05645476605935234,0.07720861542721656
holdout__holdout_01__teb__tau_x_300,holdout,holdout_01,teb,tau_x_300,true,external_tolerance,false,0,13.32999999999976,5.451471788744524,0.05859861450122322,0.07645660234993855
discovery__discovery_17__teb__tau_w_300,discovery,discovery_17,teb,tau_w_300,false,plugin returned no valid velocity command,false,1,6.549999999999905,2.6996043368686835,0.07265065894879497,2.713599720262089
holdout__holdout_08__dwa__tau_y_500,holdout,holdout_08,dwa,tau_y_500,false,logical_timeout,false,0,30.00000000000189,0.14694983650681062,0.5081682090769482,4.797485535329291
holdout__holdout_17__dwa__tau_x_300,holdout,holdout_17,dwa,tau_x_300,false,logical_timeout,false,0,30.00000000000189,0.08880162185125437,0.3789200887172612,4.7987983755832255
holdout__holdout_20__dwa__tau_y_500,holdout,holdout_20,dwa,tau_y_500,false,logical_timeout,false,0,30.00000000000189,2.0748885263660575,0.07258472414397454,3.1976946153228667
holdout__holdout_11__dwa__tau_y_150,holdout,holdout_11,dwa,tau_y_150,true,external_tolerance,false,0,17.57999999999995,5.323959714621785,0.04475856473189294,0.0799571785854058
discovery__discovery_19__teb__tau_y_300,discovery,discovery_19,teb,tau_y_300,true,external_tolerance,false,0,17.669999999999963,6.735996798708099,0.07018119812053583,0.07641339697854982
